Original_File_Name,Date,County,Med_County_Sales,Rec_County_Sales
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Routt,209165,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,San Miguel,94099,230470
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Sedgwick,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Summit,244818,1063383
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Teller,1,0
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Weld,671024,1
0214_MarijuanaSalesReport PUBLISH.xlsx,2014-02-28,Non-Reported,534622,2342715
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Adams,477275,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Alamosa,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Arapahoe,1490219,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Archuleta,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Boulder,3505875,1396479
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Chaffee,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Clear Creek,106955,524541
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Costilla,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Denver,16102218,10746117
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Eagle,201147,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,El Paso,5929766,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Fremont,222270,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Garfield,401766,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Gilpin,33416,131685
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Grand,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Gunnison,1,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Jefferson,2014285,1056723
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Lake,0,1
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,La Plata,587114,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Larimer,1234344,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Mesa,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Moffat,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Montezuma,1,0
0314_MarijuanaSalesReport PUBLISH.xlsx,2014-03-31,Montrose,1,0
