"","Original_File_Name","Date","County","Med_County_Sales","Rec_County_Sales"
"55","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Larimer",$1,009,841,$0
"56","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Mesa",$1,$0
"57","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Moffat",$1,$0
"58","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Montezuma",$103,266,$0
"59","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Montrose",$1,$0
"60","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Ouray",$1,$1
"61","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Park",$1,$1
"62","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Pitkin",$161,237,$0
"63","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Pueblo",$418,489,$823,156
"64","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Routt",$209,165,$1
"65","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"San Miguel",$94,099,$230,470
"66","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Sedgwick",$1,$0
"67","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Summit",$244,818,$1,063,383
"68","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Teller",$1,$0
"69","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Weld",$671,024,$1
"70","0214_MarijuanaSalesReport PUBLISH.xlsx",2014-02-28,"Non-Reported",$534,622,$2,342,715
"71","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Adams",$477,275,$1
"72","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Alamosa",$1,$0
"73","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Arapahoe",$1,490,219,$0
"74","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Archuleta",$1,$0
"75","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Boulder",$3,505,875,$1,396,479
"76","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Chaffee",$1,$0
"77","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Clear Creek",$106,955,$524,541
"78","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Costilla",$1,$0
"79","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Denver",$16,102,218,$10,746,117
"80","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Eagle",$201,147,$0
"81","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"El Paso",$5,929,766,$0
"82","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Fremont",$222,270,$0
"83","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Garfield",$401,766,$1
"84","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Gilpin",$33,416,$131,685
"85","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Grand",$1,$0
"86","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Gunnison",$1,$1
"87","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Jefferson",$2,014,285,$1,056,723
"88","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Lake",$0,$1
"89","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"La Plata",$587,114,$0
"90","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Larimer",$1,234,344,$0
"91","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Mesa",$1,$0
"92","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Moffat",$1,$0
"93","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Montezuma",$1,$0
"94","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Montrose",$1,$0
"95","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Ouray",$1,$1
"96","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Park",$1,$1
"97","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Pitkin",$157,541,$1
"98","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Pueblo",$375,711,$1,196,018
"99","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Routt",$214,650,$1
"100","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Saguache",$1,$0
"101","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"San Miguel",$75,215,$319,620
"102","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Sedgwick",$1,$0
"103","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Summit",$253,937,$1,427,935
"104","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Teller",$1,$0
"105","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Weld",$580,961,$1
"106","0314_MarijuanaSalesReport PUBLISH.xlsx",2014-03-31,"Non-Reported",$857,213,$3,082,513
"107","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Adams",$452,636,$1
"108","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Alamosa",$1,$0
"109","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Arapahoe",$1,517,828,$0
"110","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Archuleta",$1,$0
"111","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Boulder",$3,136,133,$1,835,900
"112","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Chaffee",$1,$0
"113","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Clear Creek",$92,791,$369,117
"114","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Costilla",$1,$0
"115","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Denver",$15,064,678,$12,005,332
"116","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Eagle",$178,397,$0
"117","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"El Paso",$5,535,184,$0
"118","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Fremont",$225,243,$0
"119","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Garfield",$371,447,$1
"120","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Gilpin",$43,162,$114,408
"121","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Grand",$1,$0
"122","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Gunnison",$1,$1
"123","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Jefferson",$2,039,086,$1,368,618
"124","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Lake",$0,$1
"125","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"La Plata",$613,521,$0
"126","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Larimer",$1,162,178,$1
"127","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Mesa",$1,$0
"128","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Moffat",$1,$0
"129","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Montezuma",$108,703,$0
"130","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Montrose",$1,$0
"131","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Ouray",$1,$1
"132","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Park",$1,$1
"133","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Pitkin",$123,525,$227,021
"134","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Pueblo",$401,959,$1,132,339
"135","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Routt",$186,308,$1
"136","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"San Miguel",$64,107,$188,733
"137","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Sedgwick",$1,$0
"138","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Summit",$243,097,$757,131
"139","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Teller",$1,$0
"140","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Weld",$519,545,$521,853
"141","0414_MarijuanaSalesReport PUBLISH.xlsx",2014-04-30,"Non-Reported",$607,341,$2,245,534
"142","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Adams",$467,977,$1
"143","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Alamosa",$1,$0
"144","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Arapahoe",$1,511,922,$0
"145","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Archuleta",$1,$0
"146","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Boulder",$2,823,124,$2,354,205
"147","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Chaffee",$88,974,$0
"148","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Clear Creek",$97,349,$320,076
"149","0514_MarijuanaSalesReport PUBLISH.xlsx",2014-05-31,"Costilla",$1,$0
